Team,Matches
100,2024casj_qm14,2024casj_qm18,2024casj_qm23,2024casj_qm33,2024casj_qm40,2024casj_qm43,2024casj_qm55,2024casj_qm6,2024casj_qm61,2024casj_qm70,2024casj_qm76
1351,2024casj_qm13,2024casj_qm19,2024casj_qm27,2024casj_qm3,2024casj_qm34,2024casj_qm42,2024casj_qm45,2024casj_qm54,2024casj_qm61,2024casj_qm66,2024casj_qm76
1678,2024casj_qm12,2024casj_qm20,2024casj_qm26,2024casj_qm35,2024casj_qm39,2024casj_qm46,2024casj_qm53,2024casj_qm57,2024casj_qm69,2024casj_qm7,2024casj_qm76
1868,2024casj_qm10,2024casj_qm17,2024casj_qm24,2024casj_qm30,2024casj_qm39,2024casj_qm43,2024casj_qm56,2024casj_qm6,2024casj_qm62,2024casj_qm66,2024casj_qm73
192,2024casj_qm10,2024casj_qm21,2024casj_qm27,2024casj_qm31,2024casj_qm36,2024casj_qm4,2024casj_qm44,2024casj_qm53,2024casj_qm63,2024casj_qm70,2024casj_qm77
1967,2024casj_qm13,2024casj_qm19,2024casj_qm23,2024casj_qm30,2024casj_qm38,2024casj_qm4,2024casj_qm48,2024casj_qm52,2024casj_qm59,2024casj_qm68,2024casj_qm71
2035,2024casj_qm12,2024casj_qm18,2024casj_qm2,2024casj_qm28,2024casj_qm31,2024casj_qm40,2024casj_qm47,2024casj_qm56,2024casj_qm63,2024casj_qm68,2024casj_qm76
2073,2024casj_qm16,2024casj_qm25,2024casj_qm29,2024casj_qm3,2024casj_qm38,2024casj_qm43,2024casj_qm50,2024casj_qm63,2024casj_qm69,2024casj_qm73,2024casj_qm9
2288,2024casj_qm15,2024casj_qm22,2024casj_qm32,2024casj_qm39,2024casj_qm4,2024casj_qm43,2024casj_qm52,2024casj_qm60,2024casj_qm65,2024casj_qm75,2024casj_qm9
2367,2024casj_qm10,2024casj_qm15,2024casj_qm2,2024casj_qm24,2024casj_qm32,2024casj_qm42,2024casj_qm49,2024casj_qm55,2024casj_qm59,2024casj_qm69,2024casj_qm73
2473,2024casj_qm11,2024casj_qm17,2024casj_qm27,2024casj_qm3,2024casj_qm35,2024casj_qm40,2024casj_qm49,2024casj_qm52,2024casj_qm59,2024casj_qm67,2024casj_qm75
253,2024casj_qm1,2024casj_qm18,2024casj_qm25,2024casj_qm33,2024casj_qm42,2024casj_qm47,2024casj_qm53,2024casj_qm62,2024casj_qm67,2024casj_qm71,2024casj_qm8
2813,2024casj_qm20,2024casj_qm23,2024casj_qm35,2024casj_qm42,2024casj_qm45,2024casj_qm5,2024casj_qm56,2024casj_qm63,2024casj_qm70,2024casj_qm74,2024casj_qm9
